ATE,SE,VIS,OUT
-2.94336764784826,0.935640976932983,36,SBP
-5.0865630974579,0.833974235906484,48,SBP
-1.11489424324395,0.870093431577282,60,SBP
-3.31452260569227,1.13200742806684,72,SBP
-0.947318445118017,0.455686689857916,36,DBP
-6.10371771214099,0.34358142373924,48,DBP
-3.81581716346114,0.360817878518096,60,DBP
-2.49884757070435,0.75405826474791,72,DBP
-7.6146815695949,2.88198416454552,36,ZSBP
-16.0191185825182,2.82405624778522,48,ZSBP
4.72119964358659,2.04090219591628,60,ZSBP
-9.9038709120971,3.56752454404765,72,ZSBP
-2.37774578726755,1.51884725666243,36,ZDBP
-18.1194902978362,1.12528343363954,48,ZDBP
-9.57410334603935,1.32527457006796,60,ZDBP
-6.887194237885,2.68310348742762,72,ZDBP
