ATE,SE,VIS,OUT
-3.32067426613613e-5,0.0196388989408123,0,log_tri
-0.0386424306920568,0.0152342481071571,18,log_tri
0.0180068567114234,0.0213005427832007,24,log_tri
0.0253955126160585,0.023268512954406,36,log_tri
-0.0604643769369836,0.0130778029789071,48,log_tri
-0.0517464590553166,0.0151111701323666,54,log_tri
-0.120808470002746,0.0208531897753668,60,log_tri
-0.048532698203051,0.017401131677845,66,log_tri
-0.0721554868903368,0.0379503039099874,72,log_tri
-0.0428269395628382,0.0237445590653505,78,log_tri
-0.09485919717249,0.0206812548458094,18,log_bi
-0.0178972476031781,0.0176225360033946,24,log_bi
0.0564642384376271,0.0273552268948543,36,log_bi
-0.00264927108059586,0.0232289158873646,48,log_bi
-0.138647504341318,0.0200611681136182,54,log_bi
-0.0482730728969587,0.0308704227259321,60,log_bi
-0.0411882152371717,0.0307544408881603,66,log_bi
-0.118630327587549,0.0277897159317723,72,log_bi
-0.110820044454019,0.0432081307654934,78,log_bi
-0.0213764788378093,0.0187577450033348,0,log_sub
-0.0508251831444615,0.0189217419624412,18,log_sub
-0.0274090978817071,0.02222801885934,24,log_sub
-0.0434997806752641,0.0198571430968316,36,log_sub
-0.0849756674333021,0.0235267230960737,48,log_sub
-0.0880874957262624,0.0307382702811247,54,log_sub
-0.202685148079512,0.0200257298626964,60,log_sub
-0.0884132558345958,0.0331463611117219,66,log_sub
-0.157560012325779,0.0188887613728931,72,log_sub
-0.208294879621694,0.034068780887386,78,log_sub
-0.0946206082502459,0.0424401850139788,48,log_supra
-0.164020266205694,0.0256985491626779,54,log_supra
-0.0657673648429291,0.0218482698342005,60,log_supra
-0.106198141420755,0.0356357455969358,66,log_supra
-0.191955295851064,0.0299760803324594,72,log_supra
-0.197009309502242,0.04310398527341,78,log_supra
